fecha,id_transaccion,dia_semana,categoria_servicio,producto_servicio,canal_venta,vendedor,region,segmento_cliente,nombre_cliente,unidades,precio_unitario,ventas_semana_actual,costo_total,margen_bruto,margen_bruto_pct,ventas_semana_anterior,variacion_pct
2025-04-21,TC-2025-10001,Monday,Análisis Predictivo,Modelo de Churn Prediction,Digital,Carlos Rodríguez,El Salvador,Enterprise,Logística Global Pac,6,15098.65,90591.9,32181.9,58410.0,64.48,75229.25,20.42
2025-04-24,TC-2025-10002,Thursday,Análisis Predictivo,Modelo de Churn Prediction,Partner,Valentina Torres,Colombia,SMB,Panadería Industrial GT,2,16842.44,33684.88,10684.06,23000.82,68.28,30724.45,9.64
2025-04-24,TC-2025-10003,Thursday,Capacitación Tech,Workshop SQL Avanzado,Directo,Carlos Rodríguez,El Salvador,SMB,Boutique Moda Latina,1,1777.85,1777.85,526.52,1251.33,70.38,1763.78,0.8
2025-04-27,TC-2025-10004,Sunday,Consultoría de Datos,Arquitectura de Datos,Partner,Camila Jiménez,Costa Rica,Mid Market,Manufactura Tica,3,9689.49,29068.47,11153.49,17914.98,61.63,24959.37,16.46
2025-04-24,TC-2025-10005,Thursday,Implementación BI,Looker Studio Pro,Referidos,Valentina Torres,Colombia,SMB,Transporte Rápido,2,10216.76,20433.52,8205.48,12228.04,59.84,23065.81,-11.41
2025-04-24,TC-2025-10006,Thursday,Capacitación Tech,Workshop Power BI Avanzado,Partner,Sofía Hernández,El Salvador,SMB,Eventos Premium CO,2,2589.09,5178.18,1329.12,3849.06,74.33,5386.97,-3.88
2025-04-22,TC-2025-10007,Tuesday,Capacitación Tech,Workshop Power BI Avanzado,Directo,María Pérez,El Salvador,Mid Market,Clínica Santa Rosa,3,2076.33,6228.99,1949.76,4279.23,68.7,6816.89,-8.62
2025-04-24,TC-2025-10008,Thursday,Análisis Predictivo,Forecasting de Ventas ML,Directo,María Pérez,El Salvador,Mid Market,Fintech Innova,4,13346.09,53384.36,22455.12,30929.24,57.94,43734.93,22.06
2025-04-21,TC-2025-10009,Monday,Análisis Predictivo,Modelo de Churn Prediction,Referidos,Valentina Torres,El Salvador,Enterprise,Supermercados Unidos,5,14917.29,74586.45,31302.0,43284.45,58.03,65159.91,14.47
2025-04-21,TC-2025-10010,Monday,Soporte & Mantenimiento,SLA Premium 24/7,Digital,María Pérez,El Salvador,SMB,Consultora Local MX,2,3536.5,7073.0,2382.22,4690.78,66.32,7365.61,-3.97
2025-04-27,TC-2025-10011,Sunday,Soporte & Mantenimiento,Dashboard Maintenance,Referidos,Carlos Rodríguez,Colombia,Mid Market,Manufactura Tica,2,1388.78,2777.56,1062.84,1714.72,61.73,2713.65,2.36
2025-04-27,TC-2025-10012,Sunday,Capacitación Tech,Certificación BI Analista,Referidos,Carlos Rodríguez,México,Mid Market,Cooperativa Agrícola Sur,3,3045.87,9137.61,2760.6,6377.01,69.79,9521.74,-4.03
2025-04-26,TC-2025-10013,Saturday,Consultoría de Datos,Arquitectura de Datos,Digital,Sofía Hernández,Costa Rica,Mid Market,Educativa Futuro,4,10709.3,42837.2,13628.44,29208.76,68.19,39839.7,7.52
2025-04-26,TC-2025-10014,Saturday,Análisis Predictivo,Forecasting de Ventas ML,Referidos,María Pérez,Colombia,SMB,Tienda Electrónica SV,2,13654.31,27308.62,10429.24,16879.38,61.81,22306.65,22.42
2025-04-26,TC-2025-10015,Saturday,Implementación BI,Looker Studio Pro,Directo,Ana Martínez,México,Mid Market,Clínica Santa Rosa,1,10435.51,10435.51,4472.44,5963.07,57.14,12127.46,-13.95
2025-04-24,TC-2025-10016,Thursday,Consultoría de Datos,Data Governance Assessment,Directo,Roberto Morales,México,Mid Market,Fintech Innova,2,6915.39,13830.78,4406.64,9424.14,68.14,12171.93,13.63
2025-04-21,TC-2025-10017,Monday,Consultoría de Datos,Arquitectura de Datos,Directo,Ana Martínez,Guatemala,SMB,Boutique Moda Latina,2,10105.87,20211.74,7546.28,12665.46,62.66,17544.6,15.2
2025-04-24,TC-2025-10018,Thursday,Consultoría de Datos,Data Maturity Assessment,Partner,Diego López,Guatemala,Enterprise,Grupo Financiero Pacífico,8,5122.82,40982.56,12903.04,28079.52,68.52,35218.22,16.37
2025-04-24,TC-2025-10019,Thursday,Soporte & Mantenimiento,SLA Premium 24/7,Referidos,Sofía Hernández,Costa Rica,SMB,Tienda Electrónica SV,2,3304.43,6608.86,2362.0,4246.86,64.26,5963.26,10.83
2025-04-26,TC-2025-10020,Saturday,Implementación BI,Dashboard Ejecutivo Custom,Directo,Valentina Torres,Colombia,Mid Market,Agroexport SA,4,8152.66,32610.64,11996.68,20613.96,63.21,38523.33,-15.35
2025-04-27,TC-2025-10021,Sunday,Análisis Predictivo,Detección de Anomalías,Directo,Luis Ramírez,Guatemala,Enterprise,Logística Global Pac,6,10663.14,63978.84,28346.34,35632.5,55.69,51896.18,23.28
2025-04-25,TC-2025-10022,Friday,Consultoría de Datos,Data Maturity Assessment,Directo,Roberto Morales,Colombia,Mid Market,Agencia Digital Norte,1,4796.17,4796.17,1579.32,3216.85,67.07,4500.35,6.57
2025-04-26,TC-2025-10023,Saturday,Análisis Predictivo,Segmentación de Clientes IA,Directo,Valentina Torres,Colombia,Enterprise,Telecomunicaciones del Sur,7,11639.99,81479.93,31252.97,50226.96,61.64,73707.33,10.55
2025-04-25,TC-2025-10024,Friday,Consultoría de Datos,Arquitectura de Datos,Partner,Camila Jiménez,México,Enterprise,Corporación Retail Max,4,8461.58,33846.32,14052.12,19794.2,58.48,29176.99,16.0
2025-04-21,TC-2025-10025,Monday,Implementación BI,Looker Studio Pro,Directo,Roberto Morales,Colombia,SMB,Academia Digital SV,2,12754.79,25509.58,7867.22,17642.36,69.16,29728.48,-14.19
2025-04-22,TC-2025-10026,Tuesday,Implementación BI,Power BI Enterprise,Digital,Diego López,El Salvador,Enterprise,Energía Renovable SA,7,13378.39,93648.73,32331.18,61317.55,65.48,102721.86,-8.83
2025-04-27,TC-2025-10027,Sunday,Soporte & Mantenimiento,SLA Premium 24/7,Directo,Ana Martínez,Guatemala,Enterprise,Energía Renovable SA,3,3748.97,11246.91,3462.9,7784.01,69.21,11340.78,-0.83
2025-04-21,TC-2025-10028,Monday,Análisis Predictivo,Scoring de Crédito,Partner,Sofía Hernández,El Salvador,Gobierno,INSAFORP El Salvador,2,17403.42,34806.84,12079.3,22727.54,65.3,28462.65,22.29
2025-04-27,TC-2025-10029,Sunday,Implementación BI,Power BI Enterprise,Referidos,Carlos Rodríguez,El Salvador,Enterprise,Energía Renovable SA,6,14315.51,85893.06,28368.6,57524.46,66.97,96210.22,-10.72
2025-04-22,TC-2025-10030,Tuesday,Consultoría de Datos,Data Governance Assessment,Referidos,Valentina Torres,Costa Rica,SMB,Restaurantes La Plaza,2,6911.24,13822.48,4140.68,9681.8,70.04,13146.52,5.14
2025-04-22,TC-2025-10031,Tuesday,Capacitación Tech,Workshop Python Analytics,Directo,Ana Martínez,Colombia,Enterprise,Constructora Progreso,3,2812.44,8437.32,2235.72,6201.6,73.5,8427.15,0.12
2025-04-27,TC-2025-10032,Sunday,Capacitación Tech,Workshop Python Analytics,Directo,María Pérez,México,Mid Market,Clínica Santa Rosa,3,2463.36,7390.08,2253.39,5136.69,69.51,7837.47,-5.71
2025-04-23,TC-2025-10033,Wednesday,Soporte & Mantenimiento,Dashboard Maintenance,Referidos,Sofía Hernández,El Salvador,Gobierno,Ministerio de Educación GT,1,1368.78,1368.78,504.66,864.12,63.13,1377.51,-0.63
2025-04-21,TC-2025-10034,Monday,Implementación BI,Data Warehouse Setup,Referidos,Diego López,El Salvador,SMB,Transporte Rápido,2,16289.39,32578.78,15380.52,17198.26,52.79,36021.12,-9.56
2025-04-23,TC-2025-10035,Wednesday,Capacitación Tech,Workshop Python Analytics,Directo,Andrés García,El Salvador,SMB,PyME Tech,1,2739.82,2739.82,726.04,2013.78,73.5,2738.37,0.05
2025-04-25,TC-2025-10036,Friday,Implementación BI,Dashboard Ejecutivo Custom,Digital,Valentina Torres,México,Enterprise,Telecomunicaciones del Sur,6,8538.51,51231.06,18742.68,32488.38,63.42,51797.7,-1.09
2025-04-26,TC-2025-10037,Saturday,Implementación BI,Dashboard Ejecutivo Custom,Digital,Luis Ramírez,México,Mid Market,Importadora Centroam,2,9093.5,18187.0,6491.38,11695.62,64.31,21456.13,-15.24
