codigo_kpi,nombre_kpi,categoria,definicion,formula,unidad,frecuencia,fuente_datos,responsable,meta_semanal,umbral_alerta,notas
KPI-VT-001,Ventas Totales Semanales,Ventas,Suma del total de ingresos por servicios facturados durante la semana en curso (lunes a domingo).,SUM(ventas_semana_actual),USD,Semanal,Sistema CRM / Google Sheets: Reporte_Ventas,Gerencia Comercial,"$15,000,000","< $12,000,000",Excluye créditos y devoluciones. Incluye todas las regiones.
KPI-VT-002,Variación Semanal de Ventas,Ventas,Cambio porcentual en ventas totales entre la semana actual y la semana inmediatamente anterior.,((ventas_semana_actual - ventas_semana_anterior) / ventas_semana_anterior) * 100,%,Semanal,Sistema CRM / Google Sheets: Reporte_Ventas,Gerencia Comercial,> 0%,< -10%,Valores negativos indican caída en ventas respecto a la semana anterior.
KPI-VT-003,Ticket Promedio por Transacción,Ventas,Valor promedio de cada transacción de venta completada durante el período.,ventas_totales / COUNT(id_transaccion),USD,Semanal,Sistema CRM,Gerencia Comercial,"> $22,000","< $18,000","Diferencia por segmento: Enterprise > $45K, Mid Market > $15K, SMB > $5K."
KPI-MG-001,Margen Bruto Global,Rentabilidad,Porcentaje del ingreso que queda después de deducir los costos directos de entrega del servicio.,((ventas_totales - costo_total) / ventas_totales) * 100,%,Semanal,ERP / Google Sheets: Costos_Servicios,Gerencia de Finanzas,> 60%,< 52%,"El margen objetivo varía por categoría: Análisis Predictivo > 62%, Consultoría > 58%, BI > 60%, Capacitación > 68%, Soporte > 55%."
KPI-MG-002,Margen por Categoría de Servicio,Rentabilidad,Margen bruto calculado de forma independiente para cada categoría de servicio ofrecida por Think Company.,((ventas_categoria - costo_categoria) / ventas_categoria) * 100,%,Semanal,ERP,Gerencia de Operaciones,Ver notas por categoría,< 50% en cualquier categoría,"Metas por categoría: Consultoría 58%, Implementación BI 60%, Análisis Predictivo 62%, Capacitación 68%, Soporte 55%."
KPI-CL-001,Número de Transacciones Nuevas,Clientes,Cantidad de transacciones de venta registradas en la semana con clientes que no tenían compras en las últimas 8 semanas.,COUNT(id_transaccion WHERE cliente_nuevo = TRUE),Transacciones,Semanal,CRM HubSpot / Notion: Pipeline_Clientes,Gerencia Comercial,> 15 nuevas transacciones,< 8,Se considera cliente nuevo si no ha comprado en las últimas 8 semanas.
KPI-CL-002,Ventas por Canal,Clientes,"Distribución del total de ventas segmentada por canal de venta: Directo, Partner, Digital y Referidos.",SUM(ventas_semana_actual) GROUP BY canal_venta,USD,Semanal,CRM,Gerencia Comercial,"Directo > 40%, Partner > 20%, Digital > 15%",Canal Directo < 35%,El canal Directo es el de mayor margen (sin comisiones de partner).
KPI-CL-003,Ventas por Región,Clientes,Total de ingresos generados en cada región geográfica donde opera Think Company.,SUM(ventas_semana_actual) GROUP BY region,USD,Semanal,CRM / Google Sheets,Gerentes Regionales,"El Salvador > 25%, Guatemala > 20%, México > 25%",Cualquier región con caída > 15% vs semana anterior,"Las regiones objetivo son El Salvador (sede), México (mayor mercado) y Guatemala (crecimiento)."
KPI-OP-001,Utilización de Capacidad de Entrega,Operaciones,Porcentaje de la capacidad total de entrega de servicios que está siendo utilizada en el período.,(horas_facturadas / horas_disponibles) * 100,%,Semanal,Sistema de Proyectos / Notion: Capacidad_Equipo,Gerencia de Operaciones,Entre 75% y 90%,< 65% o > 95%,Por encima del 90% indica riesgo de calidad y burnout del equipo. Por debajo del 65% indica subutilización.
KPI-OP-002,Satisfacción del Cliente (CSAT),Calidad,Puntaje promedio de satisfacción reportado por clientes al finalizar un entregable o servicio.,AVG(puntaje_satisfaccion) en escala 1-10,Puntaje (1-10),Por entregable / Mensual,Encuestas post-servicio / Notion: Feedback_Clientes,Gerencia de Calidad,> 8.5,< 7.5,Se envía encuesta automática al cierre de cada proyecto. Respuesta mínima requerida: 60% de clientes.
KPI-VD-001,Ventas por Vendedor,Fuerza de Ventas,Total de ingresos generados por cada vendedor del equipo comercial durante la semana.,SUM(ventas_semana_actual) GROUP BY vendedor,USD,Semanal,CRM,Gerencia Comercial,"> $1,200,000 por vendedor","< $800,000 por vendedor",El equipo tiene 10 vendedores activos. La meta individual considera el territorio y cartera asignada.
KPI-VD-002,Tasa de Cierre,Fuerza de Ventas,Porcentaje de oportunidades en pipeline que se convirtieron en ventas efectivas durante el período.,(oportunidades_cerradas_ganadas / total_oportunidades_activas) * 100,%,Semanal,CRM / Notion: Pipeline_Oportunidades,Gerencia Comercial,> 35%,< 25%,"La tasa de cierre varía por categoría: Soporte & Mantenimiento (55%), Capacitación (48%), Consultoría (32%)."
