id_proyecto,nombre_proyecto,cliente,categoria_servicio,lider_proyecto,region,estado,prioridad,fecha_inicio,fecha_fin_planificada,fecha_fin_real,avance_pct,budget_usd,gasto_actual_usd,variacion_budget_pct,kpi_satisfaccion_meta,kpi_satisfaccion_actual,horas_planificadas,horas_ejecutadas,riesgo_identificado,ultima_actualizacion,notas_estado
PRJ-2025-100,Capacitación Tech — Agencia Digital Norte,Cooperativa Agrícola Sur,Capacitación Tech,Andrés García,Costa Rica,En riesgo,Alta,2025-02-13,2025-04-29,,39,78000,27500,-64.7,86,74,718,541,Alcance ampliado sin presupuesto,2025-04-22,Requiere atención gerencial
PRJ-2025-101,Soporte & Mantenimiento — Energía Renovable SA,Secretaría de Salud CO,Soporte & Mantenimiento,Sofía Hernández,El Salvador,Completado,Baja,2025-02-14,2025-06-19,2025-06-21 00:00:00,100,235000,263900,12.3,87,89,773,129,Ninguno,2025-04-23,Entregado satisfactoriamente
PRJ-2025-102,Capacitación Tech — Instituto Nacional MX,Cooperativa Agrícola Sur,Capacitación Tech,Carlos Rodríguez,Costa Rica,En curso,Media,2025-02-18,2025-08-09,,20,123000,22900,-81.4,93,89,132,406,Alcance ampliado sin presupuesto,2025-04-25,En ejecución según plan
PRJ-2025-103,Implementación BI — Grupo Financiero Pacífico,Corporación Retail Max,Implementación BI,Ana Martínez,Guatemala,Pausado,Media,2025-03-23,2025-08-13,,48,60000,35400,-41.0,95,92,780,469,Retraso en entregables,2025-04-14,En espera de decisión del cliente
PRJ-2025-104,Capacitación Tech — Cooperativa Agrícola Sur,Agencia Digital Norte,Capacitación Tech,Carlos Rodríguez,El Salvador,Pausado,Alta,2025-02-06,2025-04-13,,29,173000,42800,-75.3,90,87,533,303,Ninguno,2025-04-22,En espera de decisión del cliente
PRJ-2025-105,Implementación BI — Aseguradora Continental,Banco de Desarrollo CO,Implementación BI,Diego López,El Salvador,En curso,Alta,2025-04-02,2025-08-31,,27,48000,14800,-69.2,96,100,201,187,Disponibilidad del cliente,2025-04-26,En ejecución según plan
PRJ-2025-106,Implementación BI — Ministerio de Hacienda SV,Corporación Retail Max,Implementación BI,Sofía Hernández,Guatemala,En riesgo,Alta,2025-02-10,2025-05-04,,60,96000,66700,-30.5,97,84,593,334,Retraso en entregables,2025-04-19,Requiere atención gerencial
PRJ-2025-107,Consultoría de Datos — Manufactura Tica,Clínica Santa Rosa,Consultoría de Datos,María Pérez,El Salvador,En curso,Alta,2025-02-14,2025-06-20,,71,101000,84500,-16.3,91,92,118,421,Dependencia tecnológica,2025-04-15,En ejecución según plan
PRJ-2025-108,Capacitación Tech — Distribuidora El Pino,Farmacéutica Centroam,Capacitación Tech,Andrés García,Guatemala,En riesgo,Media,2025-02-15,2025-06-04,,66,72000,52800,-26.7,89,72,383,488,Cambio de stakeholder clave,2025-04-27,Requiere atención gerencial
PRJ-2025-109,Capacitación Tech — Distribuidora El Pino,Fintech Innova,Capacitación Tech,María Pérez,Guatemala,En riesgo,Media,2025-03-31,2025-07-04,,29,143000,40100,-72.0,95,100,521,337,Ninguno,2025-04-18,Requiere atención gerencial
PRJ-2025-110,Soporte & Mantenimiento — Banco Central LATAM,Clínica Santa Rosa,Soporte & Mantenimiento,Andrés García,México,En curso,Alta,2025-02-19,2025-06-26,,76,64000,48700,-23.9,88,88,760,723,Alcance ampliado sin presupuesto,2025-04-16,En ejecución según plan
PRJ-2025-111,Análisis Predictivo — Banco Central LATAM,Corporación Retail Max,Análisis Predictivo,María Pérez,Costa Rica,Pausado,Alta,2025-02-27,2025-05-27,,36,235000,101100,-57.0,95,96,81,574,Disponibilidad del cliente,2025-04-18,En espera de decisión del cliente
PRJ-2025-112,Implementación BI — Instituto Nacional MX,Hotel Cadena Pacífico,Implementación BI,María Pérez,Costa Rica,Completado,Baja,2025-03-23,2025-08-13,2025-08-09 00:00:00,100,82000,94300,15.0,96,97,374,245,Dependencia tecnológica,2025-04-28,Entregado satisfactoriamente
PRJ-2025-113,Consultoría de Datos — Secretaría de Salud CO,Secretaría de Salud CO,Consultoría de Datos,Sofía Hernández,Guatemala,En curso,Alta,2025-02-05,2025-08-02,,24,29000,7100,-75.5,90,93,484,448,Cambio de stakeholder clave,2025-04-26,En ejecución según plan
PRJ-2025-114,Análisis Predictivo — Agencia Digital Norte,Manufactura Tica,Análisis Predictivo,María Pérez,Guatemala,En riesgo,Media,2025-02-22,2025-04-25,,33,245000,83200,-66.0,98,100,336,252,Disponibilidad del cliente,2025-04-21,Requiere atención gerencial
PRJ-2025-115,Soporte & Mantenimiento — Energía Renovable SA,Telecomunicaciones del Sur,Soporte & Mantenimiento,María Pérez,Guatemala,Pausado,Media,2025-02-25,2025-05-13,,40,161000,77700,-51.7,92,97,615,55,Retraso en entregables,2025-04-23,En espera de decisión del cliente
PRJ-2025-116,Capacitación Tech — Manufactura Tica,Ministerio de Hacienda SV,Capacitación Tech,Carlos Rodríguez,Guatemala,En curso,Baja,2025-02-22,2025-03-25,,88,85000,82500,-2.9,94,94,128,446,Retraso en entregables,2025-04-28,En ejecución según plan
PRJ-2025-117,Análisis Predictivo — Manufactura Tica,Logística Global Pac,Análisis Predictivo,Carlos Rodríguez,El Salvador,Completado,Media,2025-02-15,2025-08-06,2025-08-20 00:00:00,100,89000,81300,-8.7,92,87,255,319,Disponibilidad del cliente,2025-04-18,Entregado satisfactoriamente
PRJ-2025-118,Análisis Predictivo — Telecomunicaciones del Sur,Corporación Retail Max,Análisis Predictivo,Andrés García,Guatemala,En curso,Alta,2025-03-08,2025-05-27,,42,194000,80800,-58.4,98,100,233,598,Retraso en entregables,2025-04-28,En ejecución según plan
PRJ-2025-119,Soporte & Mantenimiento — Banco de Desarrollo CO,Banco de Desarrollo CO,Soporte & Mantenimiento,Carlos Rodríguez,México,Pausado,Alta,2025-02-25,2025-05-08,,32,237000,88200,-62.8,88,92,430,680,Ninguno,2025-04-25,En espera de decisión del cliente
PRJ-2025-120,Análisis Predictivo — Banco Central LATAM,Logística Global Pac,Análisis Predictivo,Diego López,El Salvador,En curso,Alta,2025-03-20,2025-05-17,,38,142000,59700,-58.0,93,99,660,494,Dependencia tecnológica,2025-04-16,En ejecución según plan
