id_oportunidad,nombre_oportunidad,cliente,categoria_servicio,vendedor_responsable,region,etapa_pipeline,valor_estimado_usd,probabilidad_cierre_pct,valor_ponderado_usd,fecha_cierre_estimada,dias_hasta_cierre,origen_lead,competidor_identificado,decision_maker,siguiente_accion,fecha_siguiente_accion,proyecto_relacionado
OPP-2025-200,Implementación BI — Ministerio de Hacienda SV,Aseguradora Continental,Implementación BI,Carlos Rodríguez,Colombia,Calificación,21000,25.0,5400.0,2025-09-26,151,Partner,Empresa local,CFO,Negociar contrato,2025-05-03,
OPP-2025-201,Capacitación Tech — Logística Global Pac,Fintech Innova,Capacitación Tech,Andrés García,El Salvador,Prospección,184000,5.0,9700.0,2025-09-15,140,Evento/webinar,EY Parthenon,CFO,Presentar a stakeholders,2025-04-29,
OPP-2025-202,Consultoría de Datos — Clínica Santa Rosa,Hotel Cadena Pacífico,Consultoría de Datos,Ana Martínez,El Salvador,Cierre inminente,295000,95.0,279000.0,2025-07-22,85,Referido de cliente,Deloitte Digital,Gerente General,Esperar respuesta,2025-04-29,
OPP-2025-203,Soporte & Mantenimiento — Farmacéutica Centroam,Grupo Financiero Pacífico,Soporte & Mantenimiento,María Pérez,Guatemala,Negociación,262000,71.0,186900.0,2025-05-01,3,Prospección directa,Ninguno identificado,Gerente de TI,Reunión de demo,2025-05-01,PRJ-2025-135
OPP-2025-204,Capacitación Tech — Supermercados Unidos,Grupo Financiero Pacífico,Capacitación Tech,Andrés García,El Salvador,Calificación,18000,28.0,5000.0,2025-05-21,23,Prospección directa,Empresa local,Gerente de TI,Negociar contrato,2025-05-11,
OPP-2025-205,Implementación BI — Grupo Financiero Pacífico,Distribuidora El Pino,Implementación BI,María Pérez,México,Calificación,186000,27.0,50200.0,2025-06-20,53,Partner,Deloitte Digital,Gerente General,Seguimiento por correo,2025-05-09,
OPP-2025-206,Soporte & Mantenimiento — Ministerio de Hacienda SV,Banco de Desarrollo CO,Soporte & Mantenimiento,Sofía Hernández,Colombia,Calificación,48000,24.0,11500.0,2025-08-26,120,Referido de cliente,Empresa local,CFO,Enviar propuesta técnica,2025-05-10,
OPP-2025-207,Implementación BI — Supermercados Unidos,Ministerio de Hacienda SV,Implementación BI,Sofía Hernández,Colombia,Cierre inminente,17000,87.0,14700.0,2025-05-29,31,Marketing digital,Ninguno identificado,CFO,Negociar contrato,2025-05-04,PRJ-2025-100
OPP-2025-208,Implementación BI — Distribuidora El Pino,Energía Renovable SA,Implementación BI,Sofía Hernández,Costa Rica,Propuesta enviada,245000,43.0,104800.0,2025-09-13,138,Prospección directa,Ninguno identificado,Director de Datos,Enviar propuesta técnica,2025-05-07,
OPP-2025-209,Soporte & Mantenimiento — Agencia Digital Norte,Distribuidora El Pino,Soporte & Mantenimiento,Diego López,Costa Rica,Prospección,247000,7.0,17600.0,2025-06-12,45,Marketing digital,EY Parthenon,CFO,Esperar respuesta,2025-04-30,
OPP-2025-210,Implementación BI — Manufactura Tica,Logística Global Pac,Implementación BI,Sofía Hernández,El Salvador,Negociación,205000,67.0,136500.0,2025-06-01,34,Prospección directa,Accenture,Gerente General,Enviar propuesta técnica,2025-04-30,PRJ-2025-124
OPP-2025-211,Implementación BI — Banco Central LATAM,Energía Renovable SA,Implementación BI,Andrés García,Costa Rica,Negociación,142000,69.0,98500.0,2025-07-04,67,Evento/webinar,Empresa local,Gerente General,Seguimiento por correo,2025-05-04,
OPP-2025-212,Implementación BI — Aseguradora Continental,Fintech Innova,Implementación BI,Diego López,Colombia,Propuesta enviada,81000,45.0,36300.0,2025-08-16,110,Prospección directa,Ninguno identificado,Gerente General,Presentar a stakeholders,2025-05-06,
OPP-2025-213,Análisis Predictivo — Grupo Financiero Pacífico,Instituto Nacional MX,Análisis Predictivo,Carlos Rodríguez,El Salvador,Propuesta enviada,245000,48.0,117100.0,2025-09-13,138,Marketing digital,Ninguno identificado,CTO,Seguimiento por correo,2025-05-05,PRJ-2025-120
OPP-2025-214,Consultoría de Datos — Hotel Cadena Pacífico,Manufactura Tica,Consultoría de Datos,María Pérez,El Salvador,Negociación,72000,74.0,53100.0,2025-05-16,18,Referido de cliente,Deloitte Digital,Director de Datos,Esperar respuesta,2025-05-02,
OPP-2025-215,Implementación BI — Grupo Financiero Pacífico,Farmacéutica Centroam,Implementación BI,Ana Martínez,Guatemala,Negociación,137000,65.0,89300.0,2025-05-08,10,Prospección directa,Empresa local,CFO,Reunión de demo,2025-05-07,PRJ-2025-111
OPP-2025-216,Capacitación Tech — Distribuidora El Pino,Logística Global Pac,Capacitación Tech,Sofía Hernández,El Salvador,Calificación,188000,28.0,53200.0,2025-08-09,103,Evento/webinar,Accenture,CFO,Presentar a stakeholders,2025-04-29,PRJ-2025-113
